id,lat,lon,year,species
6523196360,56.77575,12.94974,2026,Imleria badia
6523198313,56.84118,13.00538,2026,Pyrenula nitida
6523200346,56.06561,13.01888,2026,Hygrocybe chlorophana
6523202401,56.03639,13.24722,2026,Armillaria borealis
6523204412,56.75852,15.89546,2026,Hydnellum peckii
6523204422,56.70781,12.9524,2026,Pluteus cervinus
6523205322,56.71885,15.92625,2026,Bovista aestivalis
6523208389,56.91253,14.38832,2026,
6523209352,56.03666,13.24778,2026,Mycena haematopus
6523209414,56.85263,14.76543,2026,Leccinum scabrum
6523212301,56.36777,13.67198,2026,Amanita muscaria
6523213340,56.31631,14.86805,2026,Cellypha goldbachii
6523213416,56.53685,12.95701,2026,Conocybe brunneidisca
6523218358,56.38338,16.09025,2026,Erysiphe lonicerae
6523218371,56.70781,12.9524,2026,Ramalina fastigiata
6523219308,56.84681,13.01452,2026,Ischnoderma resinosum
6523219394,56.70401,13.01254,2026,
6523221322,56.91046,14.38726,2026,Laetiporus sulphureus
6523221408,56.35011,13.68975,2026,
6523222339,56.36156,14.98624,2026,Mollisia hydrophila
6523225335,56.71885,15.92625,2026,Paragymnopus perforans
6523227375,56.51046,16.387,2026,Lepiota erminea
6523228406,56.61727,16.64567,2026,Disciseda candida
6523229351,56.72354,15.92991,2026,Rhytisma acerinum
6523234337,56.36846,13.66683,2026,Suillus luteus
6523237344,56.24185,12.84541,2026,Naohidemyces vaccinii
6523239333,56.87708,13.53468,2026,Sphaerophorus globosus
6523241356,56.33319,13.66727,2026,Gymnopus dryophilus
6523243317,56.72159,15.93019,2026,Armillaria ostoyae
6523243393,56.6814,16.49301,2026,Rhodocollybia maculata
6523245369,56.24185,12.84541,2026,
6523246311,56.91314,14.38883,2026,Nectriopsis violacea
6523248348,56.70401,13.01254,2026,Amanita muscaria
6523248411,56.84719,13.01506,2026,Lobaria pulmonaria
6523251376,56.84787,13.01622,2026,Mucidula mucida
6523255344,56.6814,16.49301,2026,Amanita citrina
6523257310,56.66582,12.77023,2026,Leccinum albostipitatum
6523261324,56.3487,13.68869,2026,Cortinarius semisanguineus
6523262316,56.12889,12.97633,2026,Russula claroflava
6523263363,56.96194,14.3625,2026,Hygrocybe chlorophana
6523263375,56.24185,12.84541,2026,Jackrogersella multiformis
6523264427,56.33523,14.98414,2026,Paragymnopus perforans
6523266340,56.96194,14.3625,2026,Cuphophyllus pratensis
6523268348,56.84672,13.01499,2026,Multiclavula mucida
6523268413,56.24185,12.84541,2026,Ischnoderma benzoinum
6523269302,56.84665,13.01459,2026,Biatoridium monasteriense
6523269382,56.16226,12.57178,2026,Laccaria laccata
6523270319,56.16432,15.57677,2026,Calycellina phalaridis
6523271370,56.84778,13.01591,2026,Biatoridium monasteriense
6523273394,56.03566,12.94633,2026,Fomes fomentarius
6523283315,56.84787,13.01622,2026,Lobaria pulmonaria
6523283348,56.24185,12.84541,2026,Collybia cirrhata
6523284306,56.24185,12.84541,2026,Mycena stipata
6523285305,56.16069,15.58626,2026,Marasmius oreades
6523285363,56.39666,13.65704,2026,Clitopilus prunulus
6523288423,56.24185,12.84541,2026,Calocera cornea
6523289309,56.24185,12.84541,2026,Gymnopilus penetrans
6523289348,56.16226,12.57178,2026,Diatrypella quercina
6523289370,56.24185,12.84541,2026,Panus conchatus
6523294325,56.24185,12.84541,2026,Hygrophoropsis aurantiaca
6523294350,56.2814,14.0211,2026,Artomyces pyxidatus
6523295333,56.36156,14.98624,2026,Hyalorbilia inflatula
6523297378,56.20893,15.68326,2026,Russula cyanoxantha
6523299375,56.3565,14.58853,2026,Xerocomellus chrysenteron
6523299425,56.62212,16.64694,2026,Tulostoma melanocyclum
6523301324,56.68767,16.59862,2026,Inocybe geophylla
6523303326,56.19746,12.58546,2026,Aspropaxillus giganteus
6523306304,56.71885,12.73926,2026,Suillus luteus
6523306404,56.24185,12.84541,2026,Xeromphalina cauticinalis
6523310402,56.77682,12.948,2026,Clitopilus prunulus
6523313360,56.68005,12.89405,2026,Camarops polysperma
6523316315,56.63528,16.21755,2026,
6523316371,56.24185,12.84541,2026,Hypholoma fasciculare
6523317400,56.03778,13.24834,2026,Lecidella elaeochroma
6523318302,56.96693,12.40164,2026,Auricularia auricula-judae
6523319315,56.68767,16.59862,2026,Ramaria stricta
6523321339,56.23631,14.19985,2026,Tapinella atrotomentosa
6523327415,56.86002,14.77149,2026,Ganoderma applanatum
6523329305,56.03695,13.24722,2026,Laccaria laccata
6523330400,56.67982,12.89358,2026,Diarthonis spadicea
6523333346,56.31631,14.86805,2026,Cyathicula cyathoidea
6523340412,56.14244,13.97239,2026,Physconia enteroxantha
6523343372,56.68551,13.54358,2026,Sparassis crispa
6523344329,56.87698,13.53474,2026,Thelotrema lepadinum
6523349378,56.32569,13.58282,2026,Russula puellaris
6523352357,56.24185,12.84541,2026,Laccaria laccata
6523353374,56.96417,14.36333,2026,Hygrocybe coccinea
