group,weight,id,lat,lon,x,y,row,col,year,cycle,unc_m,ika,manty,kuusi,koivu,tilavuus,ppa,latvuspeitto,keskipituus,keskilapimitta,pine_share,spruce_share,decid_share,stems_ha,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_missing,main_1,main_2,main_3,main_4,ika_m3,manty_m3,kuusi_m3,latvuspeitto_m3,ppa_m3,ika_m9,manty_m9,kuusi_m9,latvuspeitto_m9,ppa_m9,dry_site_frac9,pine_max9,spruce_min9,elev,slope,northness,eastness,tpi7,tpi31,relief7,soil_coarse,soil_till,soil_fine,soil_rock,soil_peat,soil_other,soil_none,coarse_frac9,coarse_frac31,glac_glaciofluvial,glac_littoral,glac_moraine,glac_other,glac_none,glacfl_frac31,thermal_sum,precip
presence,1.0,3962798523,66.290847,27.193143,508666.13779952057,7352342.665664246,26622,28189,2022,2021,1.0,108,65,8,8,82,14,32,144,22,0.78313,0.096386,0.096386,368.29,0,0,1,0,0,0,0,0,0,1,0,0,0,86.111,77.556,9.2222,43.778,14.667,84.778,77.167,24.986,54.806,17.25,0.11111,134,0,117.2,6.0545,-0.70711,-0.70711,3.1796,-11.542,13.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,901.42,605.02
presence,1.0,4879692628,68.709326,27.274347,511117.00720529654,7621976.037157725,9770,28342,2022,2021,1.0,234,150,0,3,153,18,40,159,29,0.97403,0,0.019481,272.51,0,0,0,1,0,0,0,0,0,1,0,0,0,192.33,117.78,0,37.333,16,188.02,108.88,0.17284,36.42,16.074,0.80247,165,0,179.1,5.0762,0.77396,0.63324,0.32654,4.3543,11.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691.02,509.12
presence,1.0,4879695019,68.710027,27.273368,511076.9892089059,7622054.021793986,9765,28340,2022,2021,1.0,227,124,0,3,127,15,38,139,24,0.96875,0,0.023438,331.57,0,0,0,1,0,0,0,0,0,1,0,0,0,174.33,106.44,0,36.333,16.111,169.7,94.679,0.074074,33.123,14.568,0.98765,162,0,174.5,3.4722,0.97855,0.20601,0.70612,6.7786,12.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,690.9,509.1
presence,1.0,4879695746,68.70673,27.28226,511438.98217552085,7621688.035270686,9788,28362,2022,2021,1.0,196,99,0,2,102,14,27,125,20,0.96117,0,0.019417,445.63,0,0,0,1,0,0,0,0,0,1,0,0,0,190.44,114.67,0,32.111,14.333,171.42,96.603,0.16667,29.987,13.179,0.85185,168,0,172.8,9.0536,0.66679,0.74524,-0.12857,1.7701,20.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691.66,509.04
presence,1.0,4879696073,68.706199,27.283043,511470.9866745881,7621628.974827716,9792,28364,2022,2021,1.0,194,96,0,0,96,14,24,115,18,0.98969,0,0,550.17,0,0,0,1,0,0,0,0,0,1,0,0,0,174.33,122.11,1.6667,35.667,15.222,179.03,105.99,0.55844,32.117,14.26,0.8642,163,0,174.9,7.5627,0.44721,0.89443,0.48981,3.0548,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691.71,509.11
presence,1.0,4879698727,68.70206,27.27485,511141.01055366447,7621165.971600513,9821,28344,2022,2021,1.0,167,65,0,0,65,13,27,116,17,0.98485,0,0,572.74,0,0,0,1,0,0,0,0,0,1,0,0,0,190.11,70.667,0,27.778,13.222,182.22,90.346,0,30.568,13.914,0.98765,154,0,217.3,2.7075,0.13216,0.99123,-0.25714,1.4643,4.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691.31,510.19
presence,1.0,4879699376,68.706128,27.28287,511464.0118983601,7621621.026093565,9792,28364,2022,2021,1.0,194,96,0,0,96,14,24,115,18,0.98969,0,0,550.17,0,0,0,1,0,0,0,0,0,1,0,0,0,174.33,122.11,1.6667,35.667,15.222,179.03,105.99,0.55844,32.117,14.26,0.8642,163,0,174.9,7.5627,0.44721,0.89443,0.48981,3.0548,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691.71,509.11
presence,1.0,4879704230,68.698494,27.289063,511718.998193654,7620771.00591839,9845,28380,2022,2021,1.0,113,33,0,2,35,8,21,63,10,0.91667,0,0.055556,1018.6,0,0,0,1,0,0,0,0,0,1,0,0,0,152.11,59.111,0,23.222,10.556,176.73,73.716,0,26.395,11.975,0.87654,154,0,185.8,1.0128,-0.70712,0.70709,0.42653,0.1512,2.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,692.24,510.12
presence,1.0,4879707291,68.69923,27.294006,511919.00036497845,7620854.01950772,9840,28392,2022,2021,1.0,154,86,0,4,90,15,24,131,20,0.94505,0,0.043956,477.46,0,0,0,1,0,0,0,0,0,1,0,0,0,155.67,76.222,0,31.333,14,171.8,77.829,0,31.882,13.132,0.71605,147,0,175.3,5.8528,0.79262,0.60971,0.18571,2.0307,11.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,692.52,509.78
presence,1.0,3901266301,68.455388,28.415464,558004.0371584538,7594303.878382483,11500,31273,2022,2021,1.0,188,110,0,0,110,17,41,134,19,0.99099,0,0,599.59,0,0,0,1,0,0,0,0,0,1,0,0,0,184.56,96.889,0,35,14.778,176.77,100.75,0.074074,33.963,14.951,1,157,0,126.1,8.1879,-0.82531,-0.56468,-0.94082,2.7993,6.6,1,0,0,0,0,0,0,0.7284,0.55879,1,0,0,0,0,0.88345,697.71,481.88
presence,1.0,3901266349,68.45241,28.427351,558498.7726265276,7593983.155586976,11520,31304,2022,2021,1.0,140,83,0,7,90,13,33,143,25,0.91209,0,0.076923,264.83,0,0,0,1,0,0,0,0,0,1,0,0,0,178.22,75.444,0,33.556,13.556,175.41,90.642,0,37.284,14.84,1,159,0,128.3,6.6597,0.96352,-0.26764,1.1571,2.9389,9.6,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0.98855,697.25,481.77
presence,1.0,3901266393,68.457075,28.451169,559462.528952293,7594525.977016141,11486,31364,2022,2021,1.0,145,54,0,1,56,15,35,130,19,0.94737,0,0.017544,529.05,0,0,0,1,0,0,0,0,0,1,0,0,0,159.89,65.889,0,34.222,14.444,173.7,72.762,0.1375,35.675,14.913,0.98765,107,0,128,1.0439,0.51448,-0.8575,1.0265,3.6879,8,1,0,0,0,0,0,0,1,0.89802,1,0,0,0,0,1,697.94,481.48
