id,group,lat,lon,year,cycle,score_mlp
4924675337,presence,65.00882,19.69468,2024.0,2010,0.9644124706586202
4924675636,presence,66.58627,19.19106,2024.0,2010,0.9074048598607382
4924677380,presence,65.10344,20.49125,2024.0,2010,0.9526877601941427
4924679368,presence,61.93544,14.14268,2024.0,2010,0.944707453250885
4924679382,presence,61.93589,14.15221,2024.0,2010,0.94317094484965
4924679519,presence,66.59107,19.17674,2024.0,2010,0.8797330657641093
4924680052,presence,64.96963,20.79954,2024.0,2010,0.8127134442329407
4927230908,presence,66.60919,19.29554,2024.0,2010,0.8581781983375549
4927231756,presence,66.62762,19.10319,2024.0,2010,0.6225741306940714
4927231758,presence,66.65543,18.97746,2024.0,2010,0.8450397849082947
4927231932,presence,67.13738,20.91847,2024.0,2010,0.7015590866406759
4927232120,presence,67.12782,20.92328,2024.0,2010,0.9745794534683228
4927232563,presence,67.12805,20.9298,2024.0,2010,0.9798775315284729
4927233119,presence,67.1277,20.92937,2024.0,2010,0.9415359099706014
4927233294,presence,65.97201,19.04344,2024.0,2010,0.9754944642384847
4927234227,presence,67.13134,20.91255,2024.0,2010,0.9313550591468811
4927236780,presence,67.13143,20.92414,2024.0,2010,0.9000408252080282
4927237315,presence,67.12698,20.92773,2024.0,2010,0.9127782781918844
4927238530,presence,63.92991,18.98487,2024.0,2010,0.9400216539700826
4927238631,presence,67.13484,20.9051,2024.0,2010,0.9217883745829264
4927238957,presence,63.61312,16.59628,2024.0,2010,0.2131607880194982
4927239199,presence,67.12807,20.92244,2024.0,2010,0.9756818016370138
4927239808,presence,67.12713,20.91793,2024.0,2010,0.8866601387659708
4927240276,presence,66.07457,19.79741,2024.0,2010,0.8540793259938558
4927240579,presence,67.13466,20.90683,2024.0,2010,0.9336115121841431
4927242383,presence,61.90359,12.67876,2024.0,2010,0.9676349759101868
4927242819,presence,63.93022,18.97104,2024.0,2010,0.942633867263794
4927243199,presence,67.12789,20.91987,2024.0,2010,0.9282924135526022
4927245219,presence,65.97433,19.03902,2024.0,2010,0.974886159102122
4927247118,presence,63.97326,18.82585,2024.0,2010,0.9338839848836263
4927248235,presence,67.12794,20.92533,2024.0,2010,0.9737919171651205
4927248711,presence,63.92899,18.97404,2024.0,2010,0.9432655970255533
4927249036,presence,67.12718,20.92776,2024.0,2010,0.8922693530718485
4927249322,presence,67.12753,20.92907,2024.0,2010,0.9287378986676534
4927250002,presence,63.97316,18.8222,2024.0,2010,0.9072393377621969
4927250700,presence,67.13822,20.91877,2024.0,2010,0.7335071762402853
4927250912,presence,63.61143,16.2859,2024.0,2010,0.34432733058929443
4927252398,presence,66.07677,19.79371,2024.0,2010,0.8487186630566915
4927252768,presence,65.59818,22.05616,2024.0,2010,0.940562903881073
4927253239,presence,61.09458,14.47469,2024.0,2010,0.9483089049657186
4927254747,presence,66.07732,19.79979,2024.0,2010,0.7566600640614828
4927254751,presence,65.9739,19.03767,2024.0,2010,0.9727341731389364
4927255942,presence,67.13806,20.91294,2024.0,2010,0.6482158203919729
4927256271,presence,66.07641,19.80202,2024.0,2010,0.818015436331431
4927256886,presence,66.0672,19.8272,2024.0,2010,0.771651049455007
4927256888,presence,65.97461,19.03975,2024.0,2010,0.9720144470532736
4927257560,presence,67.13513,20.91149,2024.0,2010,0.8923961122830709
4927257795,presence,67.1282,20.91905,2024.0,2010,0.96603924036026
4927258283,presence,67.89967,21.04057,2024.0,2010,0.9332230687141418
4927259174,presence,63.97436,18.82735,2024.0,2010,0.9464298486709595
4927260069,presence,63.97443,18.81564,2024.0,2010,0.920475443204244
4927262609,presence,66.61243,19.28665,2024.0,2010,0.7736222942670187
4927263336,presence,67.12738,20.91693,2024.0,2010,0.8981573979059855
4927264224,presence,67.13122,20.91231,2024.0,2010,0.9263666272163391
4927265927,presence,63.97442,18.82732,2024.0,2010,0.9472918510437012
4927266405,presence,65.97176,19.04298,2024.0,2010,0.9757065971692404
4927266717,presence,66.07744,19.79778,2024.0,2010,0.7125040292739868
4927266766,presence,66.62706,19.28391,2024.0,2010,0.415916512409846
4927267780,presence,65.97007,19.04368,2024.0,2010,0.9518793423970541
4927268105,presence,66.07778,19.79887,2024.0,2010,0.6559993028640747
4927269216,presence,67.13526,20.91122,2024.0,2010,0.8873630364735922
4927270155,presence,67.12685,20.92389,2024.0,2010,0.9092002908388773
4927271026,presence,65.96757,19.04386,2024.0,2010,0.9688463608423868
4927273395,presence,63.93014,18.97075,2024.0,2010,0.9437790910402933
4927273825,presence,66.65826,18.96681,2024.0,2010,0.2623260021209717
4927274161,presence,63.92888,18.97263,2024.0,2010,0.7993473013242086
4927274337,presence,66.60986,19.2861,2024.0,2010,0.8333578109741211
4927275376,presence,67.12622,20.92562,2024.0,2010,0.6471019188563029
4927275664,presence,65.11459,20.78235,2024.0,2010,0.8356732527414957
4927276422,presence,61.09412,14.47514,2024.0,2010,0.9511103431383768
4927276460,presence,67.12817,20.92853,2024.0,2010,0.9797539710998535
4927279117,presence,63.97497,18.82433,2024.0,2010,0.9302918910980225
4927280701,presence,62.03132,15.21477,2024.0,2010,0.9151920676231384
4927280887,presence,67.1266,20.91967,2024.0,2010,0.9360787272453308
4927282779,presence,67.89153,21.03914,2024.0,2010,0.9643678466478983
4927283433,presence,67.12696,20.92355,2024.0,2010,0.8865535457928976
4927284357,presence,63.97371,18.81573,2024.0,2010,0.9422813852628072
4927284674,presence,67.12812,20.92917,2024.0,2010,0.9792623718579611
4927284809,presence,65.25528,21.54408,2024.0,2010,0.9441754817962646
4927286020,presence,66.65517,18.97655,2024.0,2010,0.8319623271624247
4927286500,presence,61.90393,12.67666,2024.0,2010,0.9826398293177286
4927286751,presence,67.13597,20.9147,2024.0,2010,0.7377770741780599
4927286919,presence,67.12788,20.92507,2024.0,2010,0.9738391041755676
4927287269,presence,63.82716,19.99838,2024.0,2010,0.1860128492116928
4927287313,presence,66.65845,18.96868,2024.0,2010,0.796683152516683
4927287433,presence,67.89043,21.03862,2024.0,2010,0.9549502531687418
4927288160,presence,66.06682,19.82647,2024.0,2010,0.7657515406608582
4927288886,presence,63.97468,18.81666,2024.0,2010,0.9478234251340231
4927289175,presence,67.12622,20.92525,2024.0,2010,0.638182799021403
4927291009,presence,61.09475,14.47329,2024.0,2010,0.8673514127731323
4927291676,presence,65.9698,19.044,2024.0,2010,0.9701652129491171
4927291968,presence,66.65847,18.96865,2024.0,2010,0.4475145737330119
4927292050,presence,62.02913,14.33714,2024.0,2010,0.8837338089942932
4927293914,presence,67.12705,20.92711,2024.0,2010,0.9257639845212301
4927294777,presence,63.97455,18.82398,2024.0,2010,0.9516757925351461
4927297657,presence,67.13491,20.9077,2024.0,2010,0.9378619988759359
4927299389,presence,67.13787,20.91754,2024.0,2010,0.7331457336743673
4927299613,presence,67.12837,20.91882,2024.0,2010,0.9650192658106486
4927300831,presence,67.13156,20.91132,2024.0,2010,0.9083795150121053
4927304052,presence,61.90392,12.67869,2024.0,2010,0.9586735169092814
4927306113,presence,63.93085,18.99491,2024.0,2010,0.9292588035265604
4927306330,presence,63.97295,18.81755,2024.0,2010,0.9664089878400167
4927306969,presence,66.65557,18.97691,2024.0,2010,0.8751480579376221
4927308349,presence,66.65493,18.97535,2024.0,2010,0.7952672243118286
4927309581,presence,67.12729,20.92741,2024.0,2010,0.9171822865804037
4927309901,presence,67.13126,20.9116,2024.0,2010,0.9283188184102377
4927310621,presence,63.97338,18.81616,2024.0,2010,0.928870439529419
